Address,Price,zipcode
"2000 Westpointe Dr, Pittsburgh, PA 15205",1410.0,15205
"5700 Bryant St, Pittsburgh, PA 15206",1324.0,15206
"300 Heinz St, Pittsburgh, PA 15212",2072.5,15212
"429 Forbes Ave, Pittsburgh, PA 15219",1447.5,15219
"136 Abbeyville Rd, Pittsburgh, PA 15228",1350.0,15228
"5562 Hobart St, Pittsburgh, PA 15217",1187.5,15217
"515 S Aiken Ave, Pittsburgh, PA 15232",1390.0,15232
"10 Allegheny Ctr, Pittsburgh, PA 15212",1410.0,15212
"100 Bear Run Dr, Pittsburgh, PA 15237",1818.5,15237
"550 Wood St, Pittsburgh, PA 15222",3061.5,15222
"100 E West Dr, Pittsburgh, PA 15237",1462.5,15237
"700 Duncan Ave, Pittsburgh, PA 15237",1500.0,15237
"5722-5728 Baum Blvd, Pittsburgh, PA 15206",1224.5,15206
"5700 Bunkerhill St, Pittsburgh, PA 15206",2910.0,15206
"160 E Station Square Dr, Pittsburgh, PA 15219",3539.5,15219
"3001 McKnight East Dr, Pittsburgh, PA 15237",1804.0,15237
"Pittsburgh, PA 15215",950.0,15215
"Pittsburgh, PA 15205",850.0,15205
"2239 Railroad St, Pittsburgh, PA 15222",1428.5,15222
"3408 Parkview Ave, Pittsburgh, PA 15213",1135.0,15213
"625 Stanwix St, Pittsburgh, PA 15222",1750.0,15222
"3304 Brownsville Rd, Pittsburgh, PA 15227",712.5,15227
"Pittsburgh, PA 15218",1200.0,15218
"Pittsburgh, PA 15236",2500.0,15236
"Pittsburgh, PA 15227",1500.0,15227
"Pittsburgh, PA 15201",1700.0,15201
"5614 Walnut St, Pittsburgh, PA 15232",1537.5,15232
"Pittsburgh, PA 15217",3900.0,15217
"Pittsburgh, PA 15219",750.0,15219
"Pittsburgh, PA 15213",1200.0,15213
"Pittsburgh, PA 15203",800.0,15203
"1344 Tennessee Ave, Dormont, PA 15216",950.0,15216
"908 Penn Ave, Pittsburgh, PA 15222",1205.0,15222
"Pittsburgh, PA 15224",600.0,15224
"Pittsburgh, PA 15234",1950.0,15234
"Pittsburgh, PA 15216",1590.0,15216
"Pittsburgh, PA 15211",1500.0,15211
"Pittsburgh, PA 15216",2500.0,15216
"Pittsburgh, PA 15222",2800.0,15222
"Pittsburgh, PA 15241",2950.0,15241
"Pittsburgh, PA 15232",1300.0,15232
"Pittsburgh, PA 15212",1495.0,15212
"Pittsburgh, PA 15241",1685.0,15241
"Pittsburgh, PA 15206",2405.0,15206
"Pittsburgh, PA 15216",1300.0,15216
"Pittsburgh, PA 15217",1600.0,15217
"Pittsburgh, PA 15222",1350.0,15222
"Pittsburgh, PA 15222",4750.0,15222
"Pittsburgh, PA 15214",1450.0,15214
"Pittsburgh, PA 15212",750.0,15212
"Pittsburgh, PA 15228",2250.0,15228
"Pittsburgh, PA 15224",700.0,15224
"Pittsburgh, PA 15212",1050.0,15212
"Pittsburgh, PA 15221",1950.0,15221
"22 Strayhorn Way, Pittsburgh, PA 15213",2045.0,15213
"900 Penn Ave, Pittsburgh, PA 15222",1739.0,15222
"Pittsburgh, PA 15203",1.0,15203
"Pittsburgh, PA 15205",1700.0,15205
"Pittsburgh, PA 15222",2900.0,15222
"Pittsburgh, PA 15243",3500.0,15243
"Pittsburgh, PA 15213",3900.0,15213
"Pittsburgh, PA 15215",1900.0,15215
"Pittsburgh, PA 15243",2350.0,15243
"Pittsburgh, PA 15224",6000.0,15224
"3429 Dawson St, Pittsburgh, PA 15213",1150.0,15213
"Pittsburgh, PA 15212",1395.0,15212
"Pittsburgh, PA 15213",2395.0,15213
"Pittsburgh, PA 15216",2495.0,15216
"Pittsburgh, PA 15210",1295.0,15210
"314 Washington Rd, Pittsburgh, PA 15216",1500.0,15216
"Pittsburgh, PA 15216",1595.0,15216
"Pittsburgh, PA 15229",1450.0,15229
"Wilkinsburg, PA 15221",1250.0,15221
"Pittsburgh, PA 15213",4800.0,15213
"332 Ophelia St, Pittsburgh, PA 15213",4200.0,15213
"Pittsburgh, PA 15206",3495.0,15206
"Pittsburgh, PA 15210",1395.0,15210
"Pittsburgh, PA 15224",2300.0,15224
"Pittsburgh, PA 15218",950.0,15218
"Pittsburgh, PA 15203",1000.0,15203
"Pittsburgh, PA 15214",950.0,15214
"Pittsburgh, PA 15216",2100.0,15216
"Pittsburgh, PA 15213",4700.0,15213
"3324 Ward St, Pittsburgh, PA 15213",3000.0,15213
"Pittsburgh, PA 15210",990.0,15210
"Pittsburgh, PA 15210",999.0,15210
"Pittsburgh, PA 15212",2045.0,15212
"Pittsburgh, PA 15210",1499.0,15210
"Pittsburgh, PA 15225",1400.0,15225
"Pittsburgh, PA 15207",1409.0,15207
"Pittsburgh, PA 15206",1100.0,15206
"416 Semple St, Pittsburgh, PA 15213",4900.0,15213
"Pittsburgh, PA 15219",1942.0,15219
"Pittsburgh, PA 15210",1395.0,15210
"Pittsburgh, PA 15208",1595.0,15208
"Pittsburgh, PA 15213",1900.0,15213
"Pittsburgh, PA 15207",1300.0,15207
"Pittsburgh, PA 15212",1450.0,15212
"Pittsburgh, PA 15237",2449.0,15237
"4008-4010 Windsor, Pittsburgh, PA 15217",1400.0,15217
"410 Kirkpatrick St, Pittsburgh, PA 15219",1075.0,15219
"30 S 13th St, Pittsburgh, PA 15203",1400.0,15203
"Pittsburgh, PA 15211",2000.0,15211
"Pittsburgh, PA 15205",925.0,15205
"Pittsburgh, PA 15201",1595.0,15201
"Pittsburgh, PA 15224",925.0,15224
"Pittsburgh, PA 15202",1395.0,15202
"153 Jucunda St, Pittsburgh, PA 15210",1500.0,15210
"Pittsburgh, PA 15213",2400.0,15213
